Age,Revenu,Montant_Pret,Score_Credit,Statut_Emploi,Nb_Prets_Existant,Niveau_Education,Statut_Marital,Pret_Approuve
40,72394.03930964958,-447.28263,345,Employé,9,Licence,Célibataire,1
46,66797.50722385407,7746.082005308919,364,Employé,1,Master,Célibataire,1
48,66320.95741288572,35012.358638272104,313,Employé,7,Secondaire,Marié,0
20,68196.56914657385,24019.282830788125,809,Chômeur,9,Licence,Célibataire,0
,,,,,,,,0
27,17840.93316445114,18295.903427650177,630,Chômeur,5,Licence,Marié,0
64,52711.23495471077,20132.366728016703,747,Indépendant,7,Secondaire,Célibataire,1
60,16395.798710210518,27357.33360280164,721,Employé,3,Licence,Célibataire,1
75,60721.19853595591,6417.366051412106,821,Etudiant,2,Secondaire,Célibataire,1
64,59907.340555513096,11590.50861329542,329,Indépendant,3,Secondaire,Marié,1
40,80910.64549579361,22729.55754863389,523,Indépendant,3,Secondaire,Célibataire,1
77,83752.68785442242,19001.654195045496,578,Indépendant,7,Secondaire,Célibataire,1
43,64055.500965047344,25718.591826367097,682,Employé,3,Licence,Célibataire,1
,,,,,,,,0
74,69703.22225091475,23571.28676271321,607,Employé,9,Licence,Célibataire,1
40,49441.64725351373,30915.83619377472,468,Employé,5,Master,Célibataire,1
22,59972.14697113302,24868.185471492834,358,Employé,9,Licence,Divorcé,0
,,,,,,,,0
,,,,,,,,0
29,76113.57278485002,11651.488472284982,604,Etudiant,1,Licence,Célibataire,1
46,73548.02737384605,19280.014075602114,738,Chômeur,9,Secondaire,Célibataire,0
26,40904.16365738357,32597.05852880406,603,Employé,9,Master,Marié,1
60,79477.88256434802,18809.714933998748,620,Employé,0,Licence,Célibataire,1
47,73971.32691,11101.960106515899,323,Employé,3,Licence,Divorcé,1
38,62038.51774745315,15077.529112346136,654,Etudiant,4,Licence,Marié,0
32,44753.530839446954,22008.502972759303,541,Chômeur,4,Secondaire,Marié,0
52,42815.879628488605,16264.860028191531,368,Chômeur,7,Licence,Célibataire,0
59,49246.748461939555,24853.032830631408,417,Employé,6,Secondaire,Divorcé,0
76,70851.88927,25228.437607490305,729,Employé,2,Secondaire,Marié,1
45,40887.49665197204,28889.83180404648,804,Chômeur,6,Secondaire,Marié,0
27,68750.24497,34235.59472265033,579,Retraité,9,Secondaire,Célibataire,1
69,35164.88942243215,29958.58724372361,837,Employé,4,Licence,Marié,1
57,55918.62831122302,10657.609358520402,399,Employé,9,Secondaire,Marié,1
61,62192.95509148017,10964.655534237278,464,Employé,6,Secondaire,Veuf,1
24,108902.60290117832,19242.285235401756,811,Employé,9,Master,Marié,1
37,32453.686889592653,15488.246427605856,396,Retraité,9,Doctorat,Marié,0
65,89440.29132980267,8616.732730390573,662,Indépendant,0,Licence,Célibataire,1
69,62996.84828,15583.082058270058,420,Employé,8,Licence,Marié,1
44,68223.43836031927,15254.87066380961,482,Employé,1,Master,Divorcé,1
67,62366.95826776409,13281.522602387942,562,Employé,8,Secondaire,Marié,1
70,68894.53636390466,16842.105138449944,497,Employé,8,Licence,Célibataire,1
42,56926.29791275965,31784.50850318331,780,Employé,2,Secondaire,Célibataire,1
73,89081.00362914917,21992.38041249239,835,Indépendant,0,Licence,Marié,1
35,50870.577115505555,44718.090760554696,575,Chômeur,4,Doctorat,Divorcé,1
32,82644.69144358495,21705.081860196493,588,Employé,3,Master,Célibataire,1
60,47112.65759573954,17099.342260627483,330,Indépendant,5,Doctorat,Célibataire,1
57,58794.96307197426,20041.328826548663,428,Indépendant,0,Licence,Divorcé,1
,,,,,,,,0
69,69100.47441,24352.539571710637,771,Chômeur,4,Master,Célibataire,1
30,88902.51913853068,40767.11325859024,425,Chômeur,7,Licence,Célibataire,0
67,58452.876403582915,11546.795350224314,487,Indépendant,3,Licence,Célibataire,1
18,56062.28602592181,28590.460581777355,763,Employé,3,Secondaire,Célibataire,0
67,37707.66073864147,22077.505976141238,692,Employé,1,Licence,Marié,1
66,55414.146928953836,4289.022574293824,641,Employé,2,Secondaire,Marié,1
66,28144.114805569447,27706.987820947634,321,Employé,2,Licence,Marié,1
59,41742.44026562346,32676.235608039045,609,Employé,2,Secondaire,Marié,1
47,64535.72092218271,11428.235962225703,608,Indépendant,3,Licence,Célibataire,1
61,86380.26395482793,19910.661321080293,475,Employé,2,Secondaire,Célibataire,1
35,116184.21722459006,2746.4573799229656,709,Employé,6,Secondaire,Célibataire,1
,,,,,,,,0
52,88706.00313,30480.295776172527,442,Employé,7,Secondaire,Marié,0
46,64875.04960803296,15335.834939925655,482,Employé,6,Doctorat,Célibataire,1
49,56975.04706507248,8911.970250619608,477,Employé,6,Licence,Marié,1
53,68651.88903452305,22294.60364,759,Employé,5,Secondaire,Célibataire,1
20,61238.32967359918,14775.875685689767,342,Employé,9,Secondaire,Célibataire,0
26,62207.91451224437,15291.78342224464,792,Chômeur,2,Master,Célibataire,1
33,51833.336743466614,27393.260256749032,726,Employé,9,Licence,Marié,1
25,32037.806804022985,8382.666410656535,565,Employé,2,Licence,Marié,1
45,29127.495949558368,10946.347873181678,620,Employé,1,Secondaire,Marié,1
59,73064.89766562454,21540.799921488688,791,Indépendant,8,Licence,Célibataire,1
58,54465.998198285735,29694.097907482053,723,Employé,8,Master,Marié,1
47,48078.22200687667,32381.603014898497,452,Indépendant,0,Secondaire,Marié,1
,,,,,,,,0
53,75898.64505831256,29373.76966919648,662,Employé,5,Secondaire,Célibataire,1
22,63607.278860527964,12158.57706529591,380,Employé,2,Secondaire,Célibataire,0
65,46878.901267180656,38262.09347,348,Employé,5,Licence,Célibataire,0
,,,,,,,,0
57,91583.71005963263,33284.78810791731,560,Chômeur,5,Doctorat,Célibataire,1
53,69891.13310645707,13435.138931812762,657,Employé,5,Master,Marié,1
52,79473.27022688181,40132.46455,419,Employé,8,Secondaire,Marié,0
23,84839.19993627621,25913.20728852484,355,Employé,2,Doctorat,Célibataire,1
52,82601.98632809028,9839.834705917781,334,Employé,6,Secondaire,Marié,0
67,72281.98354225248,14777.615204574933,494,Employé,3,Secondaire,Célibataire,1
36,71966.94094149765,27811.812052237416,302,Employé,9,Licence,Célibataire,1
55,70393.21146693005,30526.444176155615,531,Employé,2,Secondaire,Célibataire,1
19,38053.24650905913,19292.844082755375,478,Employé,8,Master,Célibataire,0
39,74014.46313719172,20446.582809634663,589,Employé,6,Doctorat,Célibataire,1
45,32883.72057746892,27583.530326440654,624,Employé,2,Master,Marié,0
78,44108.0109,21317.984270108198,469,Employé,7,Master,Marié,1
31,86071.30135616174,7064.951406616243,550,Employé,2,Secondaire,Marié,1
35,76804.40325388395,11870.259753598193,342,Etudiant,2,Secondaire,Célibataire,0
43,89747.96579371725,22351.199431516652,465,Employé,3,Master,Veuf,1
79,54566.51232625415,32154.824164976937,838,Indépendant,6,Licence,Célibataire,1
70,36955.023174464644,36159.824241620474,845,Employé,3,Master,Marié,1
20,55191.25605859314,27795.29421,567,Employé,5,Secondaire,Marié,1
32,62040.62594481149,22872.907610363636,816,Employé,5,Secondaire,Marié,1
68,61579.774326800194,27488.138859824772,575,Employé,1,Secondaire,Célibataire,1
21,82673.60957513403,13332.491497931444,369,Chômeur,2,Licence,Marié,0
71,52774.59149993109,18467.690397417857,777,Indépendant,3,Master,Marié,1
35,67040.68943605848,11758.692786605234,528,Employé,2,Doctorat,Célibataire,1
74,40227.45701130788,7512.573892922885,636,Chômeur,9,Secondaire,Marié,0
36,69006.34556087626,23335.49011636205,656,Employé,3,Licence,Célibataire,1
44,60062.171003712734,21855.133065847436,469,Employé,4,Secondaire,Marié,1
59,45003.73323430965,26876.524845090127,703,Indépendant,6,Secondaire,Marié,1
25,55283.41275650294,25461.118308924473,575,Employé,7,Secondaire,Marié,1
52,56316.48506969557,22426.44271323862,501,Employé,6,Licence,Célibataire,0
49,54596.89741325808,25566.166656775542,463,Etudiant,5,Licence,Célibataire,0
66,95426.82484535367,19573.169037725234,710,Retraité,9,Secondaire,Célibataire,1
79,58031.07995384241,24128.913952224008,437,Chômeur,8,Licence,Célibataire,0
59,55122.077796453246,12738.555973136405,368,Employé,2,Master,Marié,1
43,18050.980847797167,23697.05926,784,Indépendant,1,Secondaire,Célibataire,1
43,42115.852960410455,26684.176852860095,482,Employé,3,Secondaire,Marié,0
43,54738.53151087294,13303.185719277968,652,Employé,8,Licence,Célibataire,1
68,46282.94647646714,20518.320989928467,694,Employé,9,Master,Célibataire,1
37,87634.15186755593,13763.974903706403,761,Etudiant,7,Master,Célibataire,0
28,56701.244492075624,14734.93303483885,644,Etudiant,6,Secondaire,Célibataire,0
38,85768.88498636504,8750.706448978453,689,Chômeur,2,Licence,Célibataire,1
19,61234.09268100736,32657.749251665555,760,Employé,5,Master,Célibataire,1
24,60744.55672843153,30656.851747200475,818,Employé,1,Secondaire,Célibataire,1
23,58224.07104574998,25374.33854227337,325,Employé,5,Licence,Célibataire,0
65,60075.925032429186,39721.95951943814,708,Etudiant,1,Doctorat,Marié,0
62,94375.90006099718,18107.543034316084,395,Employé,0,Secondaire,Divorcé,1
61,13607.785464975634,50317.62415110634,790,Employé,9,Licence,Marié,1
46,19969.08511122642,17724.705846367797,326,Indépendant,8,Master,Célibataire,1
62,49136.58337887772,22551.933517560163,435,Employé,6,Secondaire,Célibataire,0
27,60290.55763875138,16022.220860597918,405,Indépendant,6,Licence,Célibataire,1
73,73802.08849528024,23723.25560060305,631,Employé,2,Licence,Marié,1
49,69461.74396,28356.149278862445,302,Indépendant,5,Master,Marié,1
76,52315.08174,18860.836069469162,309,Employé,7,Master,Célibataire,1
27,80380.87386483524,37767.198471176205,577,Employé,5,Master,Célibataire,0
48,80603.90806305462,22391.492846334608,834,Employé,2,Secondaire,Célibataire,1
61,63681.15662543131,22704.85386110199,590,Employé,3,Master,Célibataire,1
48,79253.15144973682,10910.023054862826,545,Employé,8,Master,Veuf,1
45,65452.90526864258,24184.990745503845,661,Employé,2,Licence,Célibataire,1
28,48770.33946434232,18659.727791906345,603,Employé,9,Licence,Célibataire,1
41,73956.33678,13917.60270662713,511,Indépendant,7,Secondaire,Célibataire,1
32,62212.26245157355,12235.25591851636,623,Employé,8,Master,Célibataire,1
36,60026.79693508974,46717.63379756685,301,Chômeur,5,Secondaire,Célibataire,0
60,89459.07144379149,17365.227498209646,434,Indépendant,2,Secondaire,Célibataire,1
57,10982.55742919827,5430.1457921873225,670,Employé,0,Master,Célibataire,0
55,31646.316596808607,13017.785402674275,487,Indépendant,5,Master,Célibataire,1
40,36258.59147,19484.321605237863,329,Employé,3,Doctorat,Marié,1
77,52734.78704862389,25466.67032616485,368,Employé,1,Licence,Marié,1
23,54907.836604679396,25547.965217253135,776,Employé,9,Secondaire,Célibataire,0
39,29853.48704453905,26766.145517765253,481,Indépendant,9,Licence,Divorcé,0
25,40296.83935378348,13551.396933626704,312,Employé,3,Secondaire,Célibataire,0
39,42783.166429528595,23404.404435015455,700,Employé,6,Master,Veuf,1
77,109148.48184151785,11239.405358894215,591,Retraité,4,Licence,Divorcé,1
40,96034.83895494294,13803.570169859882,548,Employé,4,Licence,Célibataire,1
74,51765.011646307015,10822.910254997405,792,Etudiant,6,Secondaire,Célibataire,0
48,52728.33419386402,8116.111454017306,472,Indépendant,4,Licence,Marié,1
61,37015.920056234114,30642.094888580086,614,Etudiant,8,Master,Célibataire,0
46,21837.391735494668,26886.117009788875,709,Etudiant,1,Licence,Célibataire,0
34,57662.39627182952,29766.653699781302,634,Retraité,6,Secondaire,Marié,1
65,40042.96033511948,20393.13066024296,414,Employé,9,Secondaire,Célibataire,0
78,58302.98936675981,27768.076988651464,674,Indépendant,8,Secondaire,Divorcé,1
34,27995.88301913045,2387.1059535745517,708,Indépendant,0,Secondaire,Marié,1
66,44760.51083379485,28630.87518045355,367,Chômeur,1,Master,Divorcé,1
,,,,,,,,0
62,67324.19195567875,26271.096001491656,671,Retraité,9,Secondaire,Marié,1
,,,,,,,,0
45,33590.22031685925,10129.448454631134,784,Employé,9,Secondaire,Veuf,1
63,77093.71460271123,5019.602246089535,360,Employé,1,Secondaire,Veuf,1
34,43995.76606796299,12879.458338170367,835,Employé,5,Licence,Marié,1
22,72657.15829214612,25649.17281272912,669,Indépendant,7,Secondaire,Marié,1
23,59787.22646763614,26900.914151753954,543,Employé,6,Licence,Marié,1
45,32472.250018441042,6320.577226181373,447,Chômeur,7,Master,Célibataire,0
73,53676.04590837624,10189.006325317854,489,Indépendant,2,Master,Divorcé,1
25,67307.27484127536,12767.643140591606,711,Employé,4,Secondaire,Célibataire,1
46,72259.30760949198,16426.949397331842,714,Indépendant,4,Licence,Célibataire,1
61,57180.24205111163,6379.491691473479,414,Employé,9,Secondaire,Célibataire,1
30,90635.57781202106,5779.482338598673,598,Indépendant,2,Licence,Marié,1
62,80150.21541973118,11781.647035924461,846,Retraité,3,Secondaire,Marié,1
36,54866.91767200494,20862.538362250056,441,Employé,0,Licence,Célibataire,1
68,75002.43624273888,8194.056602465094,681,Chômeur,1,Secondaire,Célibataire,1
53,98675.86970376375,18841.96490028234,394,Employé,9,Master,Célibataire,1
51,99209.69201566055,30585.52816141815,758,Employé,8,Master,Célibataire,1
28,35440.00238355005,6982.202626,393,Indépendant,2,Secondaire,Célibataire,1
46,41469.33777685699,17935.542415894604,463,Employé,7,Master,Marié,0
71,89698.37573467701,30247.567337507724,552,Chômeur,5,Secondaire,Célibataire,0
19,38834.378983247254,15817.316096361907,503,Employé,9,Licence,Célibataire,0
65,33549.17733416642,14263.303091415812,393,Employé,3,Secondaire,Célibataire,0
48,50276.11738601906,31634.958143064738,652,Etudiant,9,Secondaire,Marié,0
62,68404.53418949171,16937.97921028452,310,Employé,3,Licence,Divorcé,1
59,57952.065867778074,31044.950252055678,840,Employé,7,Licence,Célibataire,1
44,46988.72759188816,24289.653911271987,328,Employé,3,Licence,Célibataire,0
37,46515.750765509816,16571.553470901632,483,Indépendant,6,Licence,Marié,1
56,45753.258711745824,24796.905305975302,811,Employé,3,Secondaire,Célibataire,1
26,42409.80742682115,23204.495138460377,385,Employé,8,Secondaire,Marié,0
54,105632.65754552124,30208.82821002474,340,Employé,6,Licence,Veuf,1
23,65950.22142,14516.544621349814,709,Employé,2,Licence,Marié,1
58,77735.18108809477,20412.060667816197,340,Retraité,9,Secondaire,Veuf,0
56,50218.45063762153,19384.843203953627,794,Employé,7,Secondaire,Célibataire,1
23,56280.86645627902,27041.481416397848,548,Employé,4,Licence,Célibataire,1
64,45728.92037,9748.208055558243,778,Indépendant,1,Licence,Célibataire,1
,,,,,,,,0
66,32439.814463042676,24663.287721704168,377,Employé,7,Licence,Célibataire,1
20,23787.626400392102,6830.749263670537,829,Employé,6,Licence,Célibataire,1
29,15004.324440967852,32082.628254805004,719,Employé,8,Licence,Marié,0
,,,,,,,,0
29,86499.11358763262,30018.339695494076,475,Etudiant,2,Secondaire,Marié,0
38,59111.27664591291,34269.84767226469,522,Etudiant,2,Secondaire,Célibataire,0
,,,,,,,,0
26,68219.65153801751,3384.950802614898,546,Employé,0,Secondaire,Célibataire,1
60,75651.17651430318,1558.7954883247512,433,Employé,7,Licence,Marié,1
24,41982.06009,22550.820438677583,506,Chômeur,8,Licence,Marié,0
28,70479.01908385342,14080.21192,634,Retraité,1,Secondaire,Marié,1
54,74574.28468148691,10854.237216726488,320,Indépendant,5,Master,Célibataire,1
67,48467.05415532614,19372.533160313247,484,Employé,1,Licence,Célibataire,1
28,71190.80741232332,26155.85287861288,461,Chômeur,4,Secondaire,Veuf,0
36,71323.75517149665,5472.424532378529,338,Indépendant,7,Master,Célibataire,1
75,49008.94757739834,15511.223797196151,367,Etudiant,8,Licence,Célibataire,0
79,37544.631354580095,35098.706831203155,572,Indépendant,9,Secondaire,Célibataire,1
54,36317.43336203456,9247.116197786254,356,Employé,3,Licence,Célibataire,1
45,61730.11083842924,28697.611871649562,489,Employé,9,Licence,Célibataire,0
39,66540.19738,15152.692384510061,608,Employé,7,Secondaire,Célibataire,1
55,44149.48339084171,25457.937598499528,780,Employé,3,Doctorat,Marié,1
54,60531.70682652197,30973.27507202867,354,Etudiant,3,Licence,Divorcé,0
36,71410.74072276971,27412.817669850214,539,Employé,1,Licence,Célibataire,1
19,72363.81429330602,29091.596022138765,356,Employé,9,Secondaire,Célibataire,0
27,91037.60240244977,8484.064666,535,Employé,2,Secondaire,Marié,1
77,85539.61664396086,31136.597067412986,564,Chômeur,2,Licence,Célibataire,0
43,39974.171344869115,11473.068853651801,739,Employé,4,Licence,Divorcé,1
,,,,,,,,0
46,49380.46991,22582.46186997227,814,Etudiant,8,Master,Marié,0
66,80897.45624908854,24851.22558869581,375,Employé,6,Secondaire,Divorcé,1
22,61359.732521021775,23369.566760601905,329,Employé,1,Licence,Célibataire,0
23,51757.01243086065,11561.900214752768,302,Employé,1,Master,Marié,1
35,23846.062804501344,6501.325877042838,496,Employé,0,Master,Marié,1
,,,,,,,,0
59,28812.33529388782,21858.345775189155,350,Etudiant,4,Master,Célibataire,0
48,79345.98471685546,31493.768409578177,429,Employé,6,Secondaire,Célibataire,0
45,90335.85314278497,19552.67065812132,836,Retraité,1,Licence,Célibataire,1
76,44061.780214066195,5948.356393230397,740,Indépendant,2,Doctorat,Veuf,1
27,66039.41485038542,29661.29681004106,310,Employé,5,Licence,Célibataire,0
53,45492.16955984049,16296.29390338893,803,Employé,2,Secondaire,Célibataire,1
51,47430.30539726421,23420.03457421021,412,Employé,6,Doctorat,Divorcé,1
47,75489.89407730743,13525.405715204808,523,Etudiant,9,Secondaire,Célibataire,0
68,59229.23476313175,36443.017102336904,480,Employé,3,Secondaire,Marié,0
34,94792.96083862023,11234.351758168032,522,Employé,6,Secondaire,Célibataire,1
77,50355.35042594158,16625.702458938253,718,Indépendant,9,Licence,Marié,1
38,79986.72664948978,21074.487026973165,691,Etudiant,8,Licence,Célibataire,1
51,61948.26825915564,9078.176729130419,626,Chômeur,0,Licence,Célibataire,0
50,75915.56019488466,23305.19528587595,644,Indépendant,1,Master,Marié,1
70,51056.84685340107,36119.10477,700,Employé,9,Licence,Célibataire,1
,,,,,,,,0
35,57690.02241,23951.428190317256,517,Employé,3,Master,Célibataire,1
19,43278.85770308426,-7494.35386,359,Employé,5,Master,Marié,1
40,73241.63069163506,19610.70799515159,687,Retraité,5,Secondaire,Célibataire,1
69,73004.98011156729,16869.577140737947,540,Employé,6,Secondaire,Célibataire,1
18,71871.09389811133,11815.02397589615,650,Employé,7,Licence,Célibataire,0
73,90739.31307835289,30814.504696285323,610,Chômeur,3,Master,Célibataire,0
51,88986.89602472607,16737.56318376172,450,Employé,8,Licence,Marié,1
26,52501.10620301729,18225.225129064125,376,Employé,0,Secondaire,Célibataire,1
36,67461.04636868357,16228.071252109288,835,Chômeur,0,Licence,Divorcé,0
52,47527.98621483575,831.8412823492363,461,Indépendant,9,Licence,Marié,1
37,60467.10632229111,8680.135599230389,360,Indépendant,1,Licence,Marié,1
24,48005.01102,29610.934861202164,468,Employé,9,Master,Marié,1
59,92401.40618272102,-1099.506469,796,Employé,2,Master,Célibataire,1
59,67273.96300685925,12336.846503842944,443,Indépendant,3,Licence,Veuf,1
25,55639.41743791156,16002.799437102361,842,Employé,0,Licence,Marié,1
35,83872.37143712754,37436.21867291565,553,Employé,9,Licence,Marié,1
33,16587.691804091766,27686.03765496369,773,Employé,3,Licence,Célibataire,0
58,19717.94810269421,14428.294729469006,659,Employé,1,Licence,Célibataire,1
63,75916.77310439548,33045.13697115551,324,Employé,4,Licence,Marié,0
63,61209.36896234736,12594.841794988803,580,Indépendant,1,Licence,Célibataire,1
76,65008.92600521521,30090.998037340054,529,Retraité,7,Licence,Marié,1
65,33472.07793362903,6411.2275407698435,410,Employé,0,Secondaire,Célibataire,0
37,59535.32578299267,30732.578317891574,602,Chômeur,4,Licence,Marié,0
24,100070.18820802684,15938.663545290143,356,Employé,3,Licence,Célibataire,1
56,76483.99239591726,9714.957590587303,684,Employé,0,Secondaire,Célibataire,1
74,63394.13090285624,17828.56386923686,752,Indépendant,0,Secondaire,Célibataire,1
,,,,,,,,0
32,52108.542962612126,15052.515694742879,563,Etudiant,3,Doctorat,Marié,0
32,17416.042215999645,25539.53505995324,660,Employé,1,Master,Divorcé,0
20,65152.808418423214,14170.061163359325,334,Employé,1,Licence,Marié,1
26,76909.66216963707,26203.72393931358,514,Employé,8,Licence,Marié,0
52,28487.613456587696,24422.220620365995,441,Employé,7,Licence,Marié,1
51,46771.66215386368,19390.76945292065,321,Etudiant,6,Licence,Marié,0
40,36850.70735533156,15586.176876340502,742,Chômeur,8,Doctorat,Divorcé,0
37,40692.97610382473,21515.40795765266,544,Employé,0,Secondaire,Marié,1
69,61069.63254,25502.537430336994,713,Employé,6,Secondaire,Célibataire,1
46,18311.956900230514,40617.99152731609,622,Chômeur,7,Licence,Marié,0
68,72285.40876714129,29394.20421798181,781,Indépendant,2,Secondaire,Célibataire,1
77,75077.10139867365,29759.89949815841,848,Employé,5,Licence,Célibataire,1
37,54977.94823926175,50885.121948602835,631,Employé,7,Master,Marié,0
30,10385.82980030917,25159.58476767844,493,Employé,6,Secondaire,Marié,0
77,40071.62747995221,24846.435113117022,532,Employé,2,Licence,Célibataire,1
57,84658.03868205393,27040.15074321654,753,Employé,6,Licence,Célibataire,1
36,4440.114385428547,9910.340224117468,534,Employé,7,Master,Divorcé,0
56,53049.53175612962,15560.983635812438,585,Employé,0,Licence,Célibataire,1
49,36399.98443065482,14938.30733307666,406,Employé,5,Secondaire,Célibataire,0
74,76091.40603169674,26476.139772195616,844,Employé,5,Licence,Marié,1
33,46497.720957130776,18258.254377788013,657,Etudiant,3,Licence,Marié,0
79,68079.08041471223,21382.234254743027,481,Employé,0,Master,Marié,1
76,71309.20838338186,30874.546201484645,621,Employé,0,Licence,Marié,1
29,96724.51679460041,28631.50738704139,520,Employé,7,Secondaire,Célibataire,1
28,55941.161126492596,18382.78996958753,385,Employé,8,Master,Célibataire,1
51,67520.88739245222,13300.049031217775,781,Etudiant,4,Licence,Marié,1
20,30298.89041745128,31352.747316531888,787,Employé,9,Secondaire,Marié,0
36,83808.27126587488,27738.91180909866,759,Employé,9,Licence,Célibataire,1
,,,,,,,,0
78,48784.91671824509,16868.46061091719,441,Indépendant,5,Licence,Célibataire,1
79,59555.04410301578,21655.154620167625,327,Indépendant,9,Secondaire,Célibataire,1
27,28742.31309320301,27788.297171210314,702,Employé,6,Licence,Célibataire,0
73,64575.40057857876,29101.01494939771,480,Employé,9,Secondaire,Célibataire,1
23,79349.32545850021,22839.060011754736,790,Chômeur,9,Licence,Marié,0
64,65858.67646994583,25852.475313588562,778,Employé,1,Licence,Célibataire,1
70,28222.04872,20641.368023781535,370,Chômeur,6,Secondaire,Marié,0
,,,,,,,,0
31,74840.57805958981,17387.35608958746,377,Employé,8,Master,Marié,0
73,22440.224680681844,20189.911866401082,569,Employé,3,Secondaire,Veuf,1
25,38504.67972364572,19653.2075,560,Employé,8,Master,Célibataire,0
50,77530.87208,1144.2709555652946,825,Employé,4,Licence,Célibataire,1
47,65401.90868394573,16025.166650705687,661,Chômeur,3,Licence,Marié,0
37,68239.43164253508,20562.056530891517,781,Indépendant,1,Secondaire,Célibataire,1
,,,,,,,,0
65,69371.05557012405,17531.76204488414,753,Indépendant,9,Secondaire,Célibataire,1
38,73157.76020866359,24879.913708045875,768,Employé,7,Licence,Divorcé,1
59,114214.91054436652,9210.42813,772,Indépendant,7,Doctorat,Célibataire,1
43,55723.90883819018,3719.5778604878888,526,Employé,8,Master,Célibataire,1
41,44042.34473,16518.302091633253,510,Indépendant,2,Secondaire,Célibataire,1
,,,,,,,,0
23,68779.82059,36875.530394866386,716,Employé,3,Secondaire,Célibataire,0
63,49465.692161075836,27821.282390947403,804,Employé,8,Doctorat,Divorcé,1
